Index,Medium,Count
367,Woodburytype (carte de visite),1
368,Gelatin silver print (carte-de-visite),1
369,Twenty two gelatin silver prints,1
370,"Gelatin silver print from a glass negative, printed 1980",1
371,Book with 145 collotypes,1
372,"Dye transfer print, printed 1991",1
373,"Seven gelatin silver prints, printed 1976",1
374,Gelatin silver print (with hand-applied silver pencil and graphite),1
375,"Gelatin silver print, printed 1984",1
376,"Dye transfer prints, printed December 1974",1
377,Twenty-five gelatin silver prints,1
378,Gelatin silver printing-out-paper print (hand-colored),1
379,Five gelatin silver prints,1
380,"Twelve silver dye bleach prints, published by Victor Landweber 1989",1
381,Twenty five lithographs,1
382,Gelatin silver print (bromide),1
383,"Gelatin silver print (chloride) from a dry plate negative, printed by Berenice Abbott",1
384,"Color instant print (Polacolor II, scratched)",1
385,"Gelatin silver print, printed 1980 by Michaela Allan Murphy",1
386,Album of 140 calotypes,1
387,Multiple gum print with platinum (?),1
388,Silkscreen,1
389,Color instant print with hand-applied ink,1
390,Framed gelatin silver print attached to child's dress on plastic clothes hanger,1
391,"Ambrotype, one-sixth plate, in leather case",1
392,"Ambrotype, one-ninth plate, in plastic case",1
393,"Tintype, whole-plate",1
394,Woodburytype (?),1
395,"Tintype, one-sixth plate, in leather case",1
396,Gelatin silver print with black ink border,1
397,Photographic postcard,1
398,Collage of color instant prints,1
399,Platinum print (double-coated),1
400,"Photogravure, printed later",1
401,"Two gelatin silver prints, printed 1992",1
402,"Color instant prints (Polaroid, with hand-applied paint and collage)",1
403,"Gelatin silver print, printed c. 1979",1
404,Silver dye bleach print (Cibachrome) and Plexiglas wall label with gilded lettering,1
405,Gelain silver print,1
406,"Gelatin silver print, ink",1
407,Salted paper print (photogram),1
408,"Platinum print (hand-coated, waxed)",1
409,Two color instant prints (Polaroid),1
410,Chromogenic color and gelatin silver prints,1
411,"Gelatin silver print, printed c. 1953",1
412,Carbon print (?),1
413,"Gelatin silver print, printed by Berenice Abbott",1
414,"30 Gelatin silver prints, printed 1980",1
415,Paper negative,1
